,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
55,fix,0.1,8,10000,1000,1000,11.39780759,0.070270999,0.170420516,0.10016005,1275.302957
56,fix,0.1,8,10000,1000,2000,22.49377353,0.069546151,0.169816369,0.100289987,8647.412387
57,fix,0.1,8,10000,1500,500,3.781237952,0.068767403,0.169908119,0.101182123,754.8640208
58,fix,0.1,8,10000,1500,1000,7.446934585,0.067294168,0.166627528,0.099345937,6191.970937
59,fix,0.1,8,10000,1500,2000,15.24667405,0.07134948,0.171682284,0.100351982,7129.853223
60,fix,0.1,8,10000,2000,500,2.755708565,0.065431613,0.164271277,0.09894912,1378.467743
61,fix,0.1,8,10000,2000,1000,5.552412654,0.069501899,0.169806545,0.100307111,4166.281925
62,fix,0.1,8,10000,2000,2000,11.33599315,0.071707954,0.172075062,0.100380499,4866.384037
63,fix,0.1,8,20000,1000,500,5.651685874,0.070397007,0.171057049,0.100684638,4317.38836
64,fix,0.1,8,20000,1000,1000,11.30106795,0.070411874,0.172517022,0.102106038,1426.337291
65,fix,0.1,8,20000,1000,2000,22.2993759,0.067373741,0.166878017,0.099528672,9902.637152
66,fix,0.1,8,20000,1500,500,3.672458956,0.067835558,0.166994516,0.099185298,6080.63435
67,fix,0.1,8,20000,1500,1000,7.359239732,0.065149606,0.163833738,0.098687359,806.4367361
68,fix,0.1,8,20000,1500,2000,14.93105583,0.067658417,0.167000058,0.099345522,5075.700853
69,fix,0.1,8,20000,2000,500,2.792517836,0.067284409,0.166981554,0.099731876,9955.964368
70,fix,0.1,8,20000,2000,1000,5.6811956,0.069784552,0.170415557,0.100638587,7237.336834
71,fix,0.1,8,20000,2000,2000,11.33888693,0.070580004,0.171785741,0.101238723,2149.394692
72,fix,0.1,11,2000,1000,500,8.331138668,0.091475765,0.192584137,0.101297787,3177.624341
73,fix,0.1,11,2000,1000,1000,16.309127,0.085637142,0.182225224,0.096959429,9090.47476
74,fix,0.1,11,2000,1000,2000,32.67115246,0.083483864,0.183451215,0.100354998,2309.066363
75,fix,0.1,11,2000,1500,500,5.511742663,0.08286426,0.183215585,0.100451546,8907.718804
76,fix,0.1,11,2000,1500,1000,10.40579337,0.076207825,0.169996081,0.094143258,1942.630376
77,fix,0.1,11,2000,1500,2000,21.51882236,0.086621552,0.183450486,0.097470339,6321.246519
78,fix,0.1,11,2000,2000,500,3.995516458,0.080819278,0.18082545,0.100130244,473.6580241
79,fix,0.1,11,2000,2000,1000,8.196334508,0.085386184,0.186200709,0.101090724,6183.814905
80,fix,0.1,11,2000,2000,2000,17.17896958,0.091318797,0.190075496,0.099173983,5826.455485
81,fix,0.1,11,5000,1000,500,8.442807142,0.089282777,0.188000971,0.098962928,9627.80695
82,fix,0.1,11,5000,1000,1000,16.31620018,0.088143074,0.18625816,0.098185212,3699.919111
83,fix,0.1,11,5000,1000,2000,33.94504101,0.089597635,0.192391946,0.102808804,3993.825801
84,fix,0.1,11,5000,1500,500,5.515410126,0.08843638,0.189355248,0.101060973,6090.66519
85,fix,0.1,11,5000,1500,1000,11.50806297,0.097607975,0.200210782,0.102695003,6438.757014
86,fix,0.1,11,5000,1500,2000,21.13859784,0.0783518,0.176129365,0.097917159,5261.367288
87,fix,0.1,11,5000,2000,500,4.197736155,0.089278861,0.187247171,0.098081697,4449.257892
88,fix,0.1,11,5000,2000,1000,8.133985018,0.087626291,0.185312199,0.098013196,9223.715156
89,fix,0.1,11,5000,2000,2000,16.48888636,0.084568014,0.182703481,0.09834018,7788.002423
90,fix,0.1,11,10000,1000,500,8.259274628,0.086239674,0.187047629,0.100887836,8251.615961
91,fix,0.1,11,10000,1000,1000,16.54263225,0.085786947,0.18349774,0.097807759,2600.879122
92,fix,0.1,11,10000,1000,2000,33.43508288,0.08866706,0.187736748,0.099114208,690.268279
93,fix,0.1,11,10000,1500,500,5.554114581,0.088589589,0.190729264,0.102186782,8036.687319
94,fix,0.1,11,10000,1500,1000,11.25379167,0.091334911,0.191775871,0.100464886,3569.898935
95,fix,0.1,11,10000,1500,2000,21.80172812,0.08593669,0.184404174,0.098523067,4282.546145
96,fix,0.1,11,10000,2000,500,4.170736994,0.086124516,0.185310234,0.099252417,2459.946361
97,fix,0.1,11,10000,2000,1000,8.455919847,0.090431176,0.190067455,0.099651576,4468.413711
98,fix,0.1,11,10000,2000,2000,16.46667851,0.086633165,0.18521101,0.098653309,9422.67566
99,fix,0.1,11,20000,1000,500,8.284631304,0.087890426,0.187370852,0.099491997,6167.048511
100,fix,0.1,11,20000,1000,1000,16.92569159,0.089580897,0.189855136,0.100274468,2931.732517
101,fix,0.1,11,20000,1000,2000,33.30556003,0.090665045,0.191238964,0.100574163,1581.497609
102,fix,0.1,11,20000,1500,500,5.605627853,0.091089516,0.192330132,0.101312525,7987.335795
103,fix,0.1,11,20000,1500,1000,11.39331979,0.091546498,0.192485655,0.10096524,3975.599205
104,fix,0.1,11,20000,1500,2000,21.96749998,0.087656609,0.187756522,0.100100632,9427.898786
105,fix,0.1,11,20000,2000,500,4.204803684,0.091393484,0.191847404,0.100543318,6717.096246
106,fix,0.1,11,20000,2000,1000,8.23374186,0.088546335,0.187995467,0.099458893,2835.455259
107,fix,0.1,11,20000,2000,2000,16.92342204,0.09144055,0.192873736,0.101459479,2423.184061
108,fix,0.1,14,2000,1000,500,11.29030416,0.114099732,0.216025864,0.102238198,3928.397882
109,fix,0.1,14,2000,1000,1000,23.59036469,0.11827554,0.21859055,0.100322245,3924.890542
110,fix,0.1,14,2000,1000,2000,44.98137133,0.102904618,0.20184759,0.099038387,7841.224278
111,fix,0.1,14,2000,1500,500,7.386837495,0.106536506,0.201320886,0.095392762,9558.000815
112,fix,0.1,14,2000,1500,1000,15.74303918,0.118707726,0.221897482,0.103281344,7386.138718
113,fix,0.1,14,2000,1500,2000,30.23217441,0.103740198,0.203663394,0.099928537,2613.763716
114,fix,0.1,14,2000,2000,500,5.751338678,0.104357815,0.2078078,0.10379082,3096.92984
115,fix,0.1,14,2000,2000,1000,11.7949151,0.1141799,0.217372797,0.103602423,5562.979991
116,fix,0.1,14,2000,2000,2000,24.21123007,0.115325601,0.217571711,0.102637152,6601.81455
117,fix,0.1,14,5000,1000,500,11.25273523,0.10302288,0.205498646,0.102507806,2829.402375
118,fix,0.1,14,5000,1000,1000,22.39976103,0.102680252,0.200630544,0.098036345,5172.998801
119,fix,0.1,14,5000,1000,2000,46.43814069,0.110775265,0.21041299,0.099668949,9024.768423
120,fix,0.1,14,5000,1500,500,7.646055952,0.106864963,0.206985369,0.100197647,6502.82347
121,fix,0.1,14,5000,1500,1000,15.67673858,0.118515249,0.22166115,0.103622579,2204.650162
122,fix,0.1,14,5000,1500,2000,30.07799878,0.108826767,0.210780639,0.102099386,8305.890555
123,fix,0.1,14,5000,2000,500,5.484809778,0.099609436,0.195618125,0.096046693,1276.986229
124,fix,0.1,14,5000,2000,1000,11.41172532,0.105978856,0.203517733,0.097603247,1811.122218
125,fix,0.1,14,5000,2000,2000,22.82885291,0.112876229,0.210326709,0.09759984,7861.140489
126,fix,0.1,14,10000,1000,500,11.56575269,0.111275646,0.212827336,0.101717186,8632.48829
127,fix,0.1,14,10000,1000,1000,23.29307274,0.110110961,0.210787681,0.100677318,5058.850429
128,fix,0.1,14,10000,1000,2000,46.40494286,0.111720677,0.214503803,0.102873437,3355.736108
129,fix,0.1,14,10000,1500,500,7.448634054,0.104456205,0.205267561,0.100818653,3266.373784
130,fix,0.1,14,10000,1500,1000,14.93569568,0.108057602,0.206514654,0.098519162,5042.940968
131,fix,0.1,14,10000,1500,2000,29.99056199,0.1029718,0.20143588,0.098558219,828.306611
132,fix,0.1,14,10000,2000,500,5.675961313,0.105713879,0.20517022,0.099661887,4623.421913
133,fix,0.1,14,10000,2000,1000,11.63240912,0.110580502,0.211891699,0.101351573,8377.911791
134,fix,0.1,14,10000,2000,2000,23.03581639,0.111179728,0.211534458,0.100446296,2019.273815
135,fix,0.1,14,20000,1000,500,11.36239418,0.104890381,0.204559506,0.099706622,2250.62864
136,fix,0.1,14,20000,1000,1000,22.86800847,0.109710655,0.209937923,0.100227564,198.263943
137,fix,0.1,14,20000,1000,2000,45.39709781,0.106495055,0.206045686,0.099551857,2307.833909
138,fix,0.1,14,20000,1500,500,7.651756711,0.108868869,0.209605093,0.100779527,3136.575902
139,fix,0.1,14,20000,1500,1000,14.93351252,0.102669103,0.201984502,0.099315716,1193.576676
140,fix,0.1,14,20000,1500,2000,30.26635451,0.10584912,0.205640818,0.099792829,4430.717023
141,fix,0.1,14,20000,2000,500,5.571674474,0.104028533,0.203547734,0.099520067,1391.210543
142,fix,0.1,14,20000,2000,1000,11.18889124,0.104901438,0.203362291,0.098461071,2579.487506
143,fix,0.1,14,20000,2000,2000,22.89731651,0.107114911,0.207980556,0.100896364,680.3231952
144,fix,0.1,17,2000,1000,500,14.88254761,0.135935635,0.238468827,0.102651283,621.6637369
145,fix,0.1,17,2000,1000,1000,28.23078863,0.108004094,0.202908125,0.09490577,4261.648826
146,fix,0.1,17,2000,1000,2000,60.01463961,0.13465311,0.238016322,0.103815413,4542.684127
147,fix,0.1,17,2000,1500,500,9.483527601,0.117204786,0.217140905,0.099941219,4374.959258
148,fix,0.1,17,2000,1500,1000,18.88689337,0.121154605,0.220242518,0.099599142,95.40555008
149,fix,0.1,17,2000,1500,2000,37.08332444,0.11162962,0.208599711,0.097160687,9302.58274
150,fix,0.1,17,2000,2000,500,7.710089281,0.125702497,0.223314154,0.098850516,7363.702543
151,fix,0.1,17,2000,2000,1000,13.96154076,0.113620352,0.207103277,0.09349629,8688.38014
152,fix,0.1,17,2000,2000,2000,28.29231161,0.115589619,0.21128982,0.095703035,2943.571341
153,fix,0.1,17,5000,1000,500,14.63498469,0.129972438,0.22893981,0.099182836,7959.603482
154,fix,0.1,17,5000,1000,1000,28.49553071,0.11585697,0.215657906,0.099803306,960.9828381
155,fix,0.1,17,5000,1000,2000,57.4775988,0.121506645,0.221049281,0.099618802,3437.98163
156,fix,0.1,17,5000,1500,500,10.10928775,0.130715117,0.233873977,0.103591534,7033.401074
157,fix,0.1,17,5000,1500,1000,19.12333124,0.122378425,0.222386438,0.100031819,5089.837554
158,fix,0.1,17,5000,1500,2000,37.53178649,0.114839301,0.215308181,0.100671038,313.9718978
159,fix,0.1,17,5000,2000,500,7.513932312,0.129733116,0.230309676,0.100579681,1944.581942
160,fix,0.1,17,5000,2000,1000,14.59533075,0.129644144,0.229840404,0.100347777,8640.76557
161,fix,0.1,17,5000,2000,2000,28.36869216,0.117404017,0.216897578,0.099600285,5044.44891
162,fix,0.1,17,10000,1000,500,14.83788176,0.126591732,0.228680398,0.102168421,9479.987559
163,fix,0.1,17,10000,1000,1000,29.22896858,0.122469068,0.222649353,0.100181031,8967.014862
164,fix,0.1,17,10000,1000,2000,58.16436967,0.120534645,0.219960143,0.099621451,1263.17499
165,fix,0.1,17,10000,1500,500,9.702777397,0.122621913,0.221108759,0.098608641,5362.464757
166,fix,0.1,17,10000,1500,1000,19.52904064,0.122199349,0.222300494,0.100145784,3991.848366
